Order_ID,Order_Date,Customer_ID,Customer_Name,Category,Product,Quantity,Unit_Price,Sales,Profit,Region,State,Payment_Mode
ORD00001,13-03-2025,CUST0053,Customer_0280,Electronics,Wireless Headphones,3.00,"? 3,316.26","? 9,948.78","? 2,088.33",West,Maharashtra,UPI
ORD00002,05-11-2025,CUST0014,Customer_0288,Electronics,Smart Watch,2.00,"? 3,175.60","? 6,351.20","? 1,508.56",West,Gujarat,Net Banking
ORD00003,04-01-2025,CUST0082,Customer_0217,Beauty,Moisturizer,4.00,"? 1,534.77","? 6,139.08",? 866.42,North,Delhi,Credit Card
ORD00004,03-07-2025,CUST0177,Customer_0136,Home & Kitchen,Coffee Maker,1.00,"? 2,434.58","? 2,434.58",? 585.62,West,Gujarat,Net Banking
ORD00005,18-11-2025,CUST0186,Customer_0296,Electronics,Smart Watch,1.00,"? 6,848.47","? 6,848.47","? 1,609.43",North,Rajasthan,UPI
ORD00006,21-02-2025,CUST0195,Customer_0143,Clothing,Kurta,1.00,"? 3,037.02","? 3,037.02",? 667.69,South,Tamil Nadu,Debit Card
ORD00007,17-05-2025,CUST0037,Customer_0088,Clothing,Sneakers,3.00,? 970.42,"? 2,911.26",? 699.89,East,West Bengal,Credit Card
ORD00008,24-11-2025,CUST0286,Customer_0113,Beauty,Moisturizer,3.00,"? 2,475.38","? 7,426.14","? 1,971.10",North,Rajasthan,UPI
ORD00009,03-02-2025,CUST0109,Customer_0291,Clothing,Hoodie,3.00,"? 1,583.73","? 4,751.19",? 602.35,West,Maharashtra,Cash on Delivery
ORD00010,07-05-2025,CUST0288,Customer_0276,Beauty,Moisturizer,2.00,? 772.47,"? 1,544.94",? 377.50,North,Uttar Pradesh,Cash on Delivery
ORD00011,12-03-2025,CUST0261,Customer_0253,Books,Novel,3.00,? 511.88,"? 1,535.64",? 378.19,North,Rajasthan,UPI
ORD00012,17-07-2025,CUST0196,Customer_0240,Clothing,Sneakers,4.00,"? 2,208.51","? 8,834.04","? 1,195.34",South,Karnataka,Net Banking
ORD00013,25-11-2025,CUST0175,Customer_0058,Electronics,Bluetooth Speaker,5.00,"? 9,135.09","? 45,675.45","? 8,022.82",West,Gujarat,Cash on Delivery
ORD00014,17-09-2025,CUST0055,Customer_0153,Electronics,USB Cable,5.00,"? 9,262.57","? 46,312.85","? 9,909.72",South,Tamil Nadu,Credit Card
ORD00015,29-09-2025,CUST0001,Customer_0166,Home & Kitchen,Cookware Set,5.00,"? 5,732.62","? 28,663.10","? 2,415.87",South,Karnataka,Debit Card
ORD00016,18-10-2025,CUST0041,Customer_0044,Home & Kitchen,Cookware Set,1.00,"? 1,635.01","? 1,635.01",? 424.33,North,Delhi,Net Banking
ORD00017,26-03-2025,CUST0136,Customer_0271,Clothing,Sneakers,4.00,"? 3,329.92","? 13,319.68","? 2,305.51",South,Karnataka,Credit Card
ORD00018,10-12-2025,CUST0192,Customer_0225,Books,Children Book,3.00,? 808.34,"? 2,425.02",? 434.87,North,Delhi,Credit Card
ORD00019,11-10-2025,CUST0118,Customer_0113,Clothing,T-Shirt,3.00,? 367.31,"? 1,101.93",? 105.36,West,Gujarat,UPI
ORD00020,06-02-2025,CUST0264,Customer_0122,Clothing,Hoodie,1.00,"? 3,050.83","? 3,050.83",? 693.07,West,Gujarat,Credit Card
ORD00021,05-05-2025,CUST0243,Customer_0209,Books,Self Help Book,5.00,"? 1,100.75","? 5,503.75",? 554.51,South,Karnataka,Cash on Delivery
ORD00022,28-01-2025,CUST0051,Customer_0032,Home & Kitchen,Cookware Set,4.00,"? 2,935.39","? 11,741.56","? 2,820.40",North,Rajasthan,UPI
ORD00023,13-03-2025,CUST0217,Customer_0094,Clothing,Hoodie,2.00,"? 2,016.11","? 4,032.22",? 732.97,North,Delhi,UPI
ORD00024,04-10-2025,CUST0008,Customer_0048,Beauty,Shampoo,1.00,"? 1,682.54","? 1,682.54",? 196.16,West,Gujarat,Cash on Delivery
ORD00025,26-03-2025,CUST0195,Customer_0002,Beauty,Perfume,4.00,"? 2,270.74","? 9,082.96","? 1,256.58",North,Delhi,Cash on Delivery
ORD00026,07-09-2025,CUST0080,Customer_0098,Home & Kitchen,Bedsheet,5.00,"? 4,055.76","? 20,278.80","? 2,593.54",North,Rajasthan,UPI
ORD00027,27-10-2025,CUST0245,Customer_0258,Books,Children Book,3.00,? 244.32,? 732.96,? 84.02,West,Maharashtra,Net Banking
ORD00028,12-12-2025,CUST0121,Customer_0207,Electronics,Wireless Headphones,1.00,"? 7,342.90","? 7,342.90","? 2,108.52",South,Karnataka,Net Banking
ORD00029,03-12-2025,CUST0299,Customer_0290,Clothing,Sneakers,5.00,? 562.35,"? 2,811.75",? 420.64,West,Maharashtra,Debit Card
ORD00030,09-03-2025,CUST0154,Customer_0235,Clothing,Hoodie,2.00,"? 1,149.97","? 2,299.94",? 654.07,East,West Bengal,UPI
ORD00031,21-02-2025,CUST0038,Customer_0276,Electronics,Smart Watch,5.00,"? 11,982.23","? 59,911.15","? 11,460.68",North,Uttar Pradesh,Credit Card
ORD00032,22-03-2025,CUST0225,Customer_0279,Home & Kitchen,Bedsheet,2.00,"? 2,374.78","? 4,749.56","? 1,019.11",West,Gujarat,Net Banking
ORD00033,10-03-2025,CUST0136,Customer_0060,Electronics,Wireless Headphones,1.00,"? 11,297.70","? 11,297.70","? 2,749.09",South,Tamil Nadu,Credit Card
ORD00034,25-06-2025,CUST0105,Customer_0136,Home & Kitchen,Water Bottle,5.00,"? 1,461.12","? 7,305.60","? 1,369.63",South,Tamil Nadu,UPI
ORD00035,20-06-2025,CUST0067,Customer_0135,Electronics,Smart Watch,3.00,"? 1,007.00","? 3,021.00",? 734.32,North,Rajasthan,Net Banking
ORD00036,20-12-2025,CUST0077,Customer_0280,Beauty,Face Wash,1.00,? 326.82,? 326.82,? 86.15,West,Maharashtra,Net Banking
ORD00037,07-06-2025,CUST0187,Customer_0021,Books,Data Science Book,4.00,? 360.29,"? 1,441.16",? 181.90,South,Karnataka,Credit Card
ORD00038,28-07-2025,CUST0080,Customer_0122,Electronics,Smart Watch,5.00,"? 10,667.55","? 53,337.75","? 15,722.12",East,West Bengal,Credit Card
ORD00039,20-06-2025,CUST0211,Customer_0128,Beauty,Moisturizer,2.00,"? 1,880.93","? 3,761.86",? 432.70,West,Maharashtra,UPI
ORD00040,24-08-2025,CUST0180,Customer_0157,Beauty,Shampoo,4.00,? 672.72,"? 2,690.88",? 347.24,West,Maharashtra,Credit Card
ORD00041,23-05-2025,CUST0180,Customer_0261,Beauty,Perfume,3.00,"? 2,181.23","? 6,543.69","? 1,501.74",East,West Bengal,Net Banking
ORD00042,14-05-2025,CUST0092,Customer_0298,Home & Kitchen,Bedsheet,1.00,"? 5,292.97","? 5,292.97",? 467.99,West,Maharashtra,Net Banking
ORD00043,19-09-2025,CUST0060,Customer_0198,Beauty,Hair Dryer,3.00,"? 1,175.53","? 3,526.59",? 429.60,East,West Bengal,UPI
ORD00044,03-10-2025,CUST0101,Customer_0187,Beauty,Perfume,5.00,"? 2,325.10","? 11,625.50","? 1,109.01",West,Maharashtra,Debit Card
